190001060,1
220001001,1
220001002,1
220001003,1
220001004,1
220001005,1
220001006,1
220001007,1
220001008,1
220001009,1
220001010,1
220001011,1
220001012,1
220001013,1
220001014,1
220001015,1
220001016,1
220001017,1
220001018,1
220001019,1
220001020,1
220001021,1
220001022,1
220001023,1
220001024,1
220001025,1
220001026,1
220001027,1
220001028,1
220001029,1
220001031,1
220001032,1
220001033,1
220001034,1
220001035,1
220001036,1
220001037,1
220001038,1
220001039,1
220001040,1
220001041,1
220001042,1
220001043,1
220001044,1
220001045,1
220001046,1
220001047,1
220001048,1
220001049,1
220001050,1
220001051,1
220001052,1
220001053,1
220001054,1
220001055,1
220001056,1
220001057,1
220001058,1
220001059,1
220001060,1
220001061,1
220001062,1
220001063,1
220001064,1
220001065,1
220001066,1
220001067,1
220001068,0
220001069,1
220001070,1
220001071,1
220001073,1
220001074,1
220001075,1
220001076,1
220001077,1
220001078,1
220001079,1
220001080,1
220001081,1
220001082,1
220002018,1
220002029,1
220002063,1
220002081,1
